te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:01:57,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,2,0,117,0
2016-04-11 00:01:57,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,117,0
2016-04-11 00:02:18,0.0,56.228.69.74,42.219.159.219,38445,1025,TCP,....S.,0,0,1,40,background,52,0,138,21
2016-04-11 00:02:42,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,40,0,162,24
2016-04-11 00:02:42,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,162,0
2016-04-11 00:03:27,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,52,0,207,45
2016-04-11 00:03:27,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,207,0
2016-04-11 00:04:11,3.004,76.153.176.26,42.219.159.219,56279,23,TCP,....S.,0,40,2,104,background,52,0,251,44
2016-04-11 00:04:12,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,104,0,252,1
2016-04-11 00:04:12,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,252,0
2016-04-11 00:04:50,1.616,42.219.159.219,43.164.49.177,49204,443,TCP,.AP...,0,0,11,1301,background,52,0,290,38
2016-04-11 00:04:50,1.652,43.164.49.177,42.219.159.219,443,49204,TCP,.AP...,0,0,17,1147,background,1301,0,290,0
2016-04-11 00:05:02,0.032,43.164.49.177,42.219.159.219,80,50439,TCP,.AP.S.,0,0,3,249,background,1147,0,302,12
2016-04-11 00:05:02,0.264,42.219.159.219,43.164.49.177,50439,80,TCP,.AP.S.,0,0,4,376,background,249,0,302,0
2016-04-11 00:05:35,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,376,0,335,33
2016-04-11 00:05:35,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,335,0
2016-04-11 00:06:16,0.0,176.116.195.149,42.219.159.219,5185,5074,UDP,.A....,0,40,1,440,background,52,0,376,41
2016-04-11 00:06:20,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,440,0,380,4
2016-04-11 00:06:20,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,380,0
2016-04-11 00:06:50,0.0,42.219.159.219,43.164.49.177,50439,80,TCP,.A.R..,0,0,1,40,background,52,0,410,30
2016-04-11 00:07:05,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,40,0,425,15
2016-04-11 00:07:05,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,425,0
2016-04-11 00:07:50,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,52,0,470,45
2016-04-11 00:07:50,0.0,43.164.49.177,42.219.159.219,443,49204,TCP,.A....,0,0,1,52,background,41,0,470,0
2016-04-11 00:08:28,1.64,42.219.159.219,43.164.49.177,49204,443,TCP,.AP...,0,0,11,1290,background,52,0,508,38
2016-04-11 00:08:28,1.68,43.164.49.177,42.219.159.219,443,49204,TCP,.AP...,0,0,17,1130,background,1290,0,508,0
2016-04-11 00:09:05,0.06,202.189.12.94,42.219.159.219,80,50528,TCP,.AP.SF,0,72,5,756,background,1130,0,545,37
2016-04-11 00:09:05,0.06,42.219.159.219,202.189.12.94,50528,80,TCP,.AP.SF,0,0,5,351,background,756,0,545,0
2016-04-11 00:09:05,0.34,32.45.101.204,42.219.159.219,80,50529,TCP,.AP.SF,0,72,5,323,background,351,0,545,0
2016-04-11 00:09:05,0.452,42.219.159.219,32.45.101.204,50529,80,TCP,.AP.SF,0,0,6,934,background,323,0,545,0
2016-04-11 00:09:13,0.0,42.219.159.219,43.164.49.177,49204,443,TCP,.A....,0,0,1,41,background,934,0,553,8
